月份,地区,销售额,订单数,工作经验要求,岗位类型
2024-01,北京,12450,1204,3-5年,技术
2024-01,上海,9850,987,1-3年,产品
2024-01,广州,7230,654,5年以上,管理
2024-01,深圳,5650,521,1-3年,技术
2024-01,杭州,4120,398,应届,运营
2024-01,成都,3280,312,3-5年,产品
2024-01,武汉,2950,287,应届,技术
2024-01,南京,2670,254,1-3年,运营
2024-01,重庆,2340,223,5年以上,管理
2024-01,西安,1980,189,应届,产品
2024-02,北京,13100,1250,1-3年,技术
2024-02,上海,10200,1010,3-5年,产品
2024-02,广州,7540,689,应届,运营
2024-02,深圳,6100,567,1-3年,技术
2024-02,杭州,4380,423,3-5年,管理
2024-02,成都,3470,334,应届,产品
2024-02,武汉,3120,301,1-3年,运营
2024-02,南京,2780,267,5年以上,技术
2024-02,重庆,2510,239,3-5年,产品
2024-02,西安,2100,202,1-3年,技术
2024-03,北京,11800,1140,5年以上,管理
2024-03,上海,9400,934,应届,技术
2024-03,广州,6890,632,1-3年,产品
2024-03,深圳,5340,503,3-5年,技术
2024-03,杭州,3950,378,5年以上,运营
2024-03,成都,3010,290,1-3年,产品
2024-03,武汉,2870,275,应届,技术
2024-03,南京,2530,241,3-5年,管理
2024-03,重庆,2210,210,应届,运营
2024-03,西安,1850,176,1-3年,技术
